,10313777,10329747,107138665,114736301,120719540,126314016,12687325,137465259,137465955,145085945,145839295,149763237,156758995,162783718,162920636,163033400,163147605,163147611,163762320,166195905,167707042,167875745,167926070,168542458,168666119,182528710,182934454,190864103,190864104,193170129,197990955,200395961,200531565,200531566,201369805,207874210,230361672,232671617,232671662,240093413,242758433,242758435,267070758,281973368,282043686,282043687,293673577,30141821,32027977,32028020,32039970,32471574,32471718,32497189,32506536,32516635,32525361,325436230,32560076,32560177,32673815,32698046,32793647,331127165,331194228,331297489,333667480,333669479,334904795,355197874,355198346,365923631,368852740,371443973,371443974,37384955,37396504,37417564,37417938,37482940,375030024,37572676,37572699,37691120,37691239,37722099,37735965,392332872,396350543,396350553,398337928,39944934,39944936,39945381,39997644,406139059,406139061,40788151,42057880,438074713,438205117,440159278,440159283,440159292,44487191,447948930,462695963,462701932,462701934,463313025,463361066,463384673,465500716,465739529,469281079,476339452,493358168,493358183,493924886,500326932,513349196,543964053,545940156,547175671,547175672,550561569,550802186,550803688,554054930,554166436,554166440,554166443,555669545,555957373,556135815,556467010,557904979,562366388,564239954,5650730,566247309,571978813,576511382,577882685,581865838,582103903,582431039,58777216,60008651,60416124,60516882,60516886,607474741,609620447,610385709,611931761,617013653,617677485,617861441,619593564,62147980,624210561,624212784,625801938,625801939,627847160,640643558,651855302,669437193,669437194,669437195,669437196,676457173,678911323,678911619,678913049,678913050,685623463,686454249,686477554,686477555,686494059,686494060,700369945,700908344,71505617,721066218,721774111,734320731,735371871,741410787,742352601,742354399,744211342,748895091,749226657,756917650,763995265,765034091,772049292,785881144,791547263,807634435,807635796,807636822,823294936,823296795,823298863,823648491,823648937,824724653,825252002,825253599,825259142,826322136,857697530,857697531,857697532,857697534,858381553,864491859,875296100,885972678,890210603,893396093,895257782,911437003,913003447,921488900,942275166,963784951,967639073,972014538,HD3
G06006700011012,,,,,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,,,,,,,,,,,,0.95,,,,,,,,,,,,,,,,,0.31,,,,,,,,,,,0.54,0.85,,,,,,,,,,,,,,,,,,,,,0.61,,,,,,,,,,,0.24,,,,,,,,,,,,
G06006700012001,,,,,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89,,,,,,,0.94,,,,,0.25,,,,,,,,,,,,,,,,,0.55,,,,,,,,,,,0.92,,,,,,,,,,,,,,,,,0.56,,,,,,,,,,,,,,,,0.77,,,,,,,,,,,,
G06006700012002,,,,,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,,,,,,,,,,,,0.63,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,0.54,0.85,,,,,,,,,,,,,,,,0.94,,,,,0.77,,,,,,,,,,,0.4,,,,,,,,,,,,
G06006700012003,,,,,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88,,,,,,,0.94,,,,,0.4,,,,,,,,,,,,,,,,,0.71,,,,,,,,,,,1.08,,,,,,,,,,,,,,,,,0.55,,,,,1.31,,,,,,,,,,,0.93,,,,,,,,,,,,
G06006700013001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08,,,0.94,,,,,,,,,,,,,,,,,,,,,,,,,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14,,,,,,,,,,,0.61,0.31,,,,,,,,,,,,,,,,,,,,,0.54,,,,,,,,,,,1.08,,,,,,,,,,,,
G06006700013002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24,,,,,,,,,,,,,,,,,,,,,,,,,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,,,,,,,,,,,,,,,,,0.84,,,,,,,,,,,0.32,0.47,,,,,,,,,,,,,,,,1.32,,,,,0.4,,,,,,,,,,,0.78,,,,,,,,,,,,
G06006700013003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.16,,,,,,,,,,,,1.01,,,,,,,,,,,,,,,,,0.69,,,,,,,,,,,0.32,0.62,,,,,,,,,,,,,,,,1.32,,,,,0.55,,,,,,,,,,,0.63,,,,,,,,,,,,
G06006700014001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,,,,,,,,,,,,,,,,,,,,,,,,,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07,,,,,,,,,,,0.54,0.24,,,,,,,,,,1.2,,,,,,,,,,,0.32,,,,,,,,,,,0.69,,,,,,,,,,,,
G06006700014002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,,,,,,,,,,,,,,,,,,,,,,,,,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24,,,,,,,,,,,,1.41,,,,,,,,,,,,,,,,,0.77,,,,,,,,,,,0.24,0.39,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,0.38,,,,,,,,,,,,
G06006700014003,,,,,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14,,,,,,,,,,,,,,,,,,,,,,,,,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08,,,,,,,,,,,,1.25,,,,,,,,,,,,,,,,,0.61,,,,,,,,,,,0.38,0.69,,,,,,,,,,,,,,,,,,,,,0.45,,,,,,,,,,,0.22,,,,,,,,,,,,
G06006700015001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.46,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,,,0.45,,,,,,,,,,,,,,,,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.45,1.14,,,,,,,,,,0.56,,,,,,,,,,,1.37,,,,,,,,,,,,,,,,,,,,,,,
G06006700015002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,1.28,,,,,,,,,,,,,,,,,,,,,,,,,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,,,0.69,,,,,,,,,,,,,,,,,,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,1.06,,,,,,,,,3.39,,1.33,,,,,,,,,,,,,,,,,,,,,,,
G06006700015003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,,,0.96,,,,,,,,,,,,,,,,,,,,,,,,,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,,,0.65,,,,,,,,,,,,,,,,,,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08,0.78,,,,,,,,,,,,,,,,,,,3.04,,1.01,,,,,,,,,,,,,,,,,,,,,,,
G06006700015004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,,,0.39,,,,,,,,,,,,,,,,,,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,0.53,,,,,,,,,,0.98,,,,,,,,,,,0.76,,,,,,,,,,,,,,,,,,,,,,,
G06006700015005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53,,,,,,,,,,,1.0,0.69,,,,,,,,,,0.74,,,,,,,,,,,0.93,,,,,,,,,,,1.31,,,,,,,,,,,,
G06006700016001,,,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,2.1,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,,,0.88,,,,,,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14,,,,,,,,,,,,,,,,,,,,,,,1.55,,,,,,,,,,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06006700016002,,,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.91,,,,,,,,,,,,,,,,,,,1.82,,,,,1.61,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35,,,1.41,,,,,,,,,,,,,,,,,,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06006700016003,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11,,,,,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.54,,,,,,,,,,,,,,,,,,,,1.77,1.55,1.58,,,,,1.74,1.6,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
