,204345954,31553746,31555561,31556371,31557528,6989477,969939118,969948921,969948925,31556463,31556529,31556616,31556696,675888211,963322476,263003895,270279264,271403973,292031477,31528158,31577889,31579349,941658784,941658785,31820764,31795090,31795879,31796415,31797869,321775870,552580195,666402942,966639189,966639190,31540640,31551423,31856156,679932345,779799288,172600443,31516213,31516227,31530054,31530517,31540470,31583869,31583931,31583964,915941401,31298330,31298928,31357750,31364163,31368512,420207183,31364237,326482018,31363855,460682833,460682836,31364282,459852718,460130237,460261844,460468494,460678854,342781637,459740162,459843920,460117410,460117411,460117412,460117413,460117414,460117415,460682860,31299703,31299758,31299805,313765399,460261835,460261837,460261839,460261840,31532228,31532270,459513357,464456654,464812311,471663925,509324171,509324172,509324173,509324174,509324175,509341653,509345809,509345811,509345812,509345827,509345828,509346916,509998382,515730433,517843365,576917927,7410760,222136476,464823463,465115229,509324169,509461869,509461879,518141026,611902028,509704699,509705936,509705937,516278271,516278272,516278273,516501875,516501878,509486916,509486921,509486922,509486923,31279168,516737153,517834876,647095474,517834874,451675376,516933915,31261021,31239840,31294014,313739302,31265835,31330425,31330524,465794786,510582417,517797163,517797167,517797169,517797172,542167400,551855982,646125111,654772948,696027752,545321176,31293900,31293907,31312851,542094164,542094165,542324126,595180496,255496981,31460541,362436440,467085857,5393213,31278852,31330220,31460019,473490617,473490618,494592358,494592360,31278806,355018421,31260723,31293562,31328970,31425944,429049870,212256102,253279070,270022105,271963073,273202307,31327648,31329215,31329351,31330038,318665953,354997321,362161604,112113630,131837314,268810770,268810822,269748796,269748797,270022107,271674311,271674312,271674313,271674314,271675611,273202567,31257671,31260806,31282448,31328566,31328840,420198791,697876347,129601815,485243865,485243871,485243873,485243874,112113127,154927645,31317628,697839532,697839533,697839534,697940146,702969940,702969941,702969949,31292422,552311889,31320691,31273452,552311888,31273323,31292554,479613093,280421421,280421422,280421424,280421425,280421426,31273566,31291642,31292670,31329806,552332664,31293210,31293084,31279251,31455206,31303825,31293553,154927658,189370220,31327976,31476725,559359899,559359900,559359901,697857908,31477308,428154935,779434823,825494948,825494953,825494954,825494955,31328396,31564919,485243863,485243864,485243866,485243872,652134593,31284487,31426940,31426961,270275471,272486408,31282351,31282285,326482971,326482972,508537765,920553757,1738228,1738229,233075216,233473159,31770026,31773115,31803997,31804372,31804447,624112760,624257345,230180239,230527917,233473160,31769460,233061218,233693944,233693948,556753440,624245603,624925749,230398976,230525884,230783642,231409734,231410289,510044766,722838144,828191266,230067115,783148496,783148497,469234680,469366727,822072530,822072544,12105207,128801248,230525118,827520035,438203854,438204950,438205402,824631899,825191770,666469920,500483690,810376339,232097407,31478027,557859786,31428762,31544927,36172541,31484942,444158583,508515439,7397566,560029784,892427520,892427522,31486920,272693286,31544401,31544604,27232917,27293409,28969541,291410727,31544130,31544273,31544365,31645777,27209305,27226181,27293487,52199696,52380678,52380707,52391545,52391566,55066138,6068529,673519917,37127439,263313197,11779295,195245479,215827733,22958127,265367795,315405573,318127797,403574704,69020906,662541461,620184215,233153341,822399047,688084065,263307599,41783060,6644272,728250523,205384770,464854717,488727584,595971788,663362333,9219199,106479449,607827495,655452048,205328816,473550865,727952282,909193794,943603621,30358759,31423836,473550872,480411836,943344295,166436530,943344307,10666533,221319847,223125608,227311487,229220208,232019756,237881575,24030940,24208638,250909848,294779081,294857289,304485786,310530911,32935535,32935760,44040160,444795487,444806139,444806750,477480658,481599042,481599050,481792976,481794537,481799727,484701172,484998348,611879586,834309464,834763586,98851114,166435596,479032686,479032693,480364415,444783776,464044699,37623738,480382407,481038146,481038440,195870835,222473836,223289015,223289016,305323076,35451682,35560444,482067952,482068034,185034120,194871780,194871781,195248360,195254080,226852756,24638973,24638974,31722830,36811248,400536209,484542797,195247925,195257367,203193334,203316809,203316816,226855353,230197323,231662080,24225610,28922004,30910549,30910550,35602477,37326169,54582535,7923533,8812309,312889732,44040166,478543195,260876196,312889730,363532969,62354237,677593569,677593572,363532968,43292207,203290644,203290645,41871652,43292195,467707976,678597112,825084384,825084471,28113846,12563891,220839215,220840122,220840123,220840125,24221444,304755227,308527502,30909403,30910551,30910552,430285893,42989617,42989621,824734791,9387379
G06001303010001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06001303010002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06001303020051,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06001303020052,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06001303020053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.5401016385849834,0.4598983614150166,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06001303020054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06001303020061,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06001303020062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06001303020071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
